text,label,label_num,text_cleansing
"RT Beberapa isu basi terkait @hs5jZceksZrPM0NiWtKnsbSbZ1XyaZtU4OHkKgrcDk8= / @wEOWbjbQXX93e2r1/7iXQ1mV/pxGE9yrnUdgURpW0Y0= dan fakta sebenarnya bisa dilihat di https://t.co/3aR3K0Plf4. Beberapa diantaranya: Ã¢Â€Â¢ Anies akan mengganti Pancasila dengan sistem Khilafah: https://t.co/jfzZ6vpU11 Ã¢Â€Â¢ Terkait toleransi berbagai penganut agamaÃ¢Â€Â”Anies blunder soal data rumah ibadah di Jakarta: https://t.co/nGdOmaVOEO Ã¢Â€Â¢ Anies mengkhianati Prabowo untuk jadi Capres: https://t.co/ioe8x09UpZ Saat kebenaran dan fakta atas suatu hal telah jelas, tapi tetap disangkalÃ¢Â€Â”entah karena niat jahat, nafsu, atau kepentingan pribadiÃ¢Â€Â¦benar bahwa seringkali yang buta itu bukan mata, tapi hati yang buta. [RE borryshasian]",Ideologi,3,beberapa isu basi terkait @USER @USER 7ixq1mv pxge 9yrnudgurpw0y0 fakta sebenarnya bisa dilihat di HTTPURL beberapa ã â â anies akan pancasila dengan sistem khilafah HTTPURL ã â â terkait toleransi berbagai penganut agamaã â â anies blunder soal data rumah ibadah di jakarta HTTPURL ã â â anies mengkhianati prabowo untuk jadi capres HTTPURL saat kebenaran fakta atas suatu hal telah jelas tapi tetap disangkalã â â entah karena niat jahat nafsu atau kepentingan pribadiã â â benar bahwa seringkali buta itu bukan mata tapi hati buta
"RT Ganjar Pranowo-Mahfud MD menekankan pentingnya persiapan dalam kebutuhan dasar alutsista dari tiga matra, yaitu darat, laut, dan udara.Ganjar Mahfud M3nang. #GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNK #TemanAlamGanjar #AtikohIbuNegara #Apri0801 https://t.co/kxi9ei6A46 [RE AllaaGa1]",Pertahanan dan Keamanan,4,ganjar md menekankan pentingnya persiapan dalam kebutuhan dasar alutsista dari tiga matra yaitu darat laut mahfud m3nang HTTPURL allaaga 1
"RT Calon presiden (capres) nomor urut 1 Anies Baswedan @vaVbSLyok3xdwCAiYpXkJarkzroaILpIRIdpu/z3CJE= sudah siap dengan kemampuannya menghadapi debat ketiga. Debat ketiga akan menyangkut tema soal pertahanan, keamanan, hubungan internasional, dan geopolitik. Download #metrotvxtend di app store & play store #aniesbaswedan #pemilu2024 #debatcapres [RE Metro_TV]",Pertahanan dan Keamanan,4,calon presiden capres nomor urut 1 anies baswedan @USER z3cje sudah siap dengan kemampuannya menghadapi debat ketiga debat ketiga akan menyangkut tema soal pertahanan keamanan hubungan internasional geopolitik download di app store play store
Capres Ganjar Pranowo punya rencana besar! Dia bakal bersinergi sama perguruan tinggi buat program yang membawa perubahan positif. #GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNK https://t.co/L8MREZKfXz,Politik,5,capres ganjar pranowo punya rencana besar dia bakal bersinergi sama perguruan tinggi buat program membawa perubahan positif HTTPURL
"@YcALzIavlM9mN2WtCz3omAmFsnJU8aBm4seMBHJD2vc= @tDtdY83jBV3k81lsAOhmIc1vK+/zGxcIdKVOWIu29xI= @Knh1OhMlSdWjOdPeGirPIxWUf4qXOOU/iNP8ZBTeaLE= @K7Z2vGLl2OuxDbFwAiP8MxCqp07lzjNsfLWVZu5Ipz4= Dengan pendapatan APBD jumbo, paling besar se-Indonesia, mencapai Rp 77",Ekonomi,1,@USER @USER zgxcidkvowiu 29xi @USER inp 8zbteale @USER dengan pendapatan apbd jumbo paling besar mencapai rp
"@VHznvAltictn2PtvpMTLB+H/VJ6L603oe1oRpSZJtO4= Kenyataan yang timbul, menghancurkan pribadi yang isinya penuh kebencian ke AyahBOWO AdalahKITA menimbulkan dampak emosional di pemilih. #MunculFenomenaPAKbowo DukunganTulus Untuk02 @K5CWVm/0TA1XpCHveYhOEBrkxUugg2",Politik,5,@USER h vj6l603oe1orpszjto4 kenyataan timbul menghancurkan pribadi isinya penuh kebencian ke ayahbowo adalahkita menimbulkan dampak emosional di pemilih dukungantulus untuk 02 @USER 0ta1xpchveyhoebrkxuugg2
"RT Mas Ganjar bawa data dan memberikan pertanyaan berdasar data. Bisa saja dijawab oleh Pak Prabowo tanpa bilang data dari Mas Ganjar salah. Tapi karena Pak Prabowo bilang datanya salah, wajar jika Mas Ganjar minta ditunjukkan mana data yang benar. Gak ada urusan sama waktu yang singkat. [RE pangeransiahaan]",Politik,5,mas ganjar bawa data memberikan pertanyaan berdasar data bisa saja dijawab oleh pak prabowo tanpa bilang data dari mas ganjar salah tapi karena pak prabowo bilang datanya salah wajar jika mas ganjar minta ditunjukkan mana data benar gak ada urusan sama waktu singkat
RT Trending On Twitter ( X) Anies Bubble meroket - Fenomena Fans K-pop join AMIN -ISME https://t.co/SzQctyOJoQ [RE Yurissa_Samosir],Sosial Budaya,6,trending on twitter x anies bubble meroket fenomena fans join amin isme HTTPURL
"RT @BUMlUyYYGIARoOH2Nx/iuCAFpXprUov+NM3cvB2DtYI= Wait wait pak. Ada bukti pak anies gunakan politik identitas ? Bukankah justru ahok yang terang terangan. Bahkan sebelum pemilihan kepala daerah saja sudah memantik perselisihan misal gunakan password wifi dengan kata ""kafir"". Berpikir adil itu memang sulit pak. https://t.co/tCzvhvR2G9 [RE iahk25]",Politik,5,@USER iucafpxpruov nm3cvb2dtyi wait wait pak ada bukti pak anies gunakan politik identitas bukankah justru ahok terang terangan bahkan sebelum pemilihan kepala daerah saja sudah misal gunakan dengan kata kafir berpikir adil itu memang sulit pak HTTPURL iahk 25
"RT Siti Atikoh mengunjungi kantor TPD Ganjar-Mahfud Sumatera Selatan. Atikoh mendapat kejutan dari penyandang tuna rungu simpatisan Ganjar-Mahfud di Hari Tuna Rungu Nasional 2024. Atikoh diberikan kejutan berupa kaos warna merah, bertuliskan Ibu Negara Indonesia di bagian depan. Tak hanya diberikan kejutan, Atikoh juga diajarkan Bahasa Isyarat. #PDIPerjuangan #HUTPDIPerjuanganKe51 #KebenaranPastiMenang #SatyamEvaJayate #GanjarMahfud2024 #MEnangkanGAnjar #Nomor3Pilihanku [RE PDI_Perjuangan]",Politik,5,siti atikoh mengunjungi kantor tpd sumatera selatan atikoh mendapat kejutan dari penyandang tuna rungu simpatisan di hari tuna rungu nasional 2024 atikoh diberikan kejutan berupa kaos warna merah ibu negara indonesia di bagian depan tak hanya diberikan kejutan atikoh juga diajarkan bahasa
RT Abah Anies ingin mengangkat martabat petani agar tidak terus menerus menerima bansos karena penghasilannya cukup.. #AMINAjaDulu https://t.co/txIvBhLvn2 [RE ekowboy2],Sosial Budaya,6,abah anies ingin mengangkat martabat petani agar tidak terus menerus menerima bansos karena penghasilannya cukup HTTPURL ekowboy 2
"Calon Presiden RI Ganjar Pranowo yakin, bersama Mahfud MD, regulasi hukum investasi bakal lebih mudah dipahami oleh semua pihak.#GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNK https://t.co/v6hsuOEr84",Politik,5,calon presiden ri ganjar pranowo yakin bersama mahfud md regulasi hukum investasi bakal lebih mudah dipahami oleh semua pihak HTTPURL
"RT Pak Michael Gaya bicara keras dan terkesan emosional tapi tetap berisiÃ°ÂŸÂ¥Â¹ "" Tidak Usah jangan, Berarti Prabowo itu sudah menggunakan kekerasan militer untuk orang yang sifatnya "" #Anies Pak Lurah Bu Hesti Anies Deserve Better Asnawi Videotron Pegang Miftah Papua Amien Rais https://t.co/VIKVDzL1Sr [RE Riweh_Banget]",Politik,5,pak michael gaya bicara keras terkesan emosional tapi tetap berisiã âÿâ â ¹ tidak usah jangan berarti prabowo itu sudah menggunakan kekerasan militer untuk orang sifatnya pak lurah bu hesti anies deserve better asnawi videotron pegang miftah papua amien rais HTTPURL
"Paslon 03 Ganjar Pranowo yakin, bersama Mahfud MD, regulasi hukum investor di Indonesia bakal lebih bersahabat dan terukur.#GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNK https://t.co/RIoiHBQcPU",Politik,5,paslon 03 ganjar pranowo yakin bersama mahfud md regulasi hukum investor di indonesia bakal lebih bersahabat terukur HTTPURL
"RT ANIES SOSOK AYAH YANG PENUH KEHANGATAN - Ã¬Â• Ã«Â‹ÂˆÃ¬ÂŠÂ¤Ã«ÂŠÂ” Ã«Â”Â°Ã«ÂœÂ»Ã­Â•Â¨Ã¬Â_x009d_Â´ ÃªÂ°Â€Ã«Â“Â_x009d_Ã­Â•Âœ Ã¬Â•Â„Ã«Â²Â„Ã¬Â§Â€Ã¬Â_x009d_Â˜ Ã«ÂªÂ¨Ã¬ÂŠÂµÃ¬Âž Ã«Â‹ÂˆÃ«Â‹Â¤ Pak @tMhERoSGzAGffRRtESW3sH2i8KRZA00OpeRvhkolzv0= mmg sosok Ayah yang Penuh Kehangatan. Lihat dlm tayangan video ini, tangannya lentur banget menggendong anak kecil. Tampak Luwes, tidak kaku dan tidak buat-buat.Ã‚ Pasti anak-anaknya juga sering merasakan gendongan, pelukan dan pelukan beliau. - ""Kekuatan sejati adalah ketenangan di pelukan Ayah."" - #aniesbubbleÃ‚ #AniesMuhaimin2024 [RE papa_loren]",Pertahanan dan Keamanan,4,anies sosok ayah penuh kehangatan ã â ã â âˆã âšâ ã âšâ ã â â ã âœâ ã â â ã ãªâ â ã â â âœ ã â â ã â ² â ã â â ã ã âªâ ã âšâµã âž ã â âˆã â â pak @USER mmg sosok ayah penuh kehangatan lihat dlm tayangan video ini tangannya lentur banget menggendong anak kecil tampak luwes tidak kaku tidak ã pasti juga sering merasakan gendongan pelukan pelukan beliau kekuatan sejati adalah ketenangan di pelukan ayah
Capres Ganjar Pranowo tidak main-main nih! Kolaborasi dengan perguruan tinggi buat program edukatif yang oke punya. #GanjarMahfudRebound #GanjarPranowoPilihanUmat #JNK https://t.co/aDzMKmTRYj,Politik,5,capres ganjar pranowo tidak nih kolaborasi dengan perguruan tinggi buat program edukatif oke punya HTTPURL
RT Projo Kawal Prabowo Gibran Menang Sekali Putaran Ã¢ÂœÂŠÃ°ÂŸÂ‡Â®Ã°ÂŸÂ‡Â© #projo #jokowi #setiadigarisrakyat https://t.co/9WT8h4Iizh [RE Projo_Pusat],Politik,5,projo kawal prabowo gibran menang sekali putaran ã âœâšã âÿâ â ã âÿâ â HTTPURL
tempodotco semangat pak Ã‚ Ã‚ kami akan selalu m3nddukung muÃ‚ Ganjar Mahfud Hebat #Coblos3 #3GM #GanjarMahfudM3nangDebat #DebatCapres https://t.co/K7EM7R7P2v,Politik,5,tempodotco semangat pak ã ã kami akan selalu muã ganjar mahfud hebat HTTPURL
RT Anies sesuai selera masyarakat Sumatera Barat. https://t.co/6phxEXGjc6 [RE kamalmiko],Sosial Budaya,6,anies sesuai selera masyarakat sumatera barat HTTPURL kamalmiko
RT Abah Anies Baswedan &amp; ibu Fery Farhati tiba di Pekanbaru Kampanye Akbar kedua hari ini Ã°ÂŸÂ”Â¥ https://t.co/XcZxFscBhw [RE Mdy_Asmara1701],Politik,5,abah anies baswedan ibu fery farhati tiba di pekanbaru kampanye akbar kedua hari ini ã âÿâ â HTTPURL 1701
Atikoh Beberkan Solusi Ganjar-Mahfud Atasi Harga Pangan Naik https://t.co/m8OARyG630,Politik,5,atikoh beberkan solusi atasi harga pangan naik HTTPURL
RT Giliran Buruh Soloraya Deklarasi Dukung Prabowo-Gibran - Soloraya https://t.co/DBaQCYeqKV https://t.co/hjZXhvK0oi #IndonesiaKuatIndonesiaMaju #DiplomasiProgresif02 #02Melanjutkan [RE doddy_h4312],Politik,5,giliran buruh soloraya deklarasi dukung soloraya HTTPURL HTTPURL 4312
Capres Cawapres Ganjar Pranowo dan Mahfud MD mengajak semua pihak untuk bersatu menjaga Konstitusi atau aturan dasar negara.#JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat https://t.co/VdpFFxOeUQ,Ideologi,3,capres cawapres ganjar pranowo mahfud md mengajak semua pihak untuk bersatu menjaga konstitusi atau aturan dasar negara HTTPURL
RT Raja dangdut Pak Haji Rhoma irama Bertanya Tentang seni dan Film Jika Pak Anies Terpilih jadi Presiden Desak ANIES &amp; Slepet Imin di JI-EXPO Kemayoran Jakarta pusat Hari ini Senin 29 Januari 2024 https://t.co/RrXqDp1oVE [RE Yurissa_Samosir],Politik,5,raja dangdut pak haji rhoma irama bertanya tentang seni film jika pak anies terpilih jadi presiden desak anies slepet imin di kemayoran jakarta pusat hari ini senin 29 januari 2024 HTTPURL
Capres Ganjar Pranowo akan memberikan ruang bagi masyarakat untuk memberikan masukan dan saran dalam evaluasi pasal karet UU ITE.#JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat https://t.co/P6xBly0eos,Politik,5,capres ganjar pranowo akan memberikan ruang bagi masyarakat untuk memberikan masukan saran dalam evaluasi pasal karet uu ite HTTPURL
"RT Ini musuh utama gen z, Anies bertekad basmi praktik ordal dalam penerimaan tenaga kerja di sektor swasta &amp; pemerintahan dg penegakan aturan.. #AMINAjaDulu https://t.co/kcras6WuXs [RE ekowboy2]",Politik,5,ini musuh utama gen z anies bertekad basmi praktik ordal dalam penerimaan tenaga kerja di sektor swasta pemerintahan dg penegakan aturan HTTPURL ekowboy 2
"Debat Capres-Cawapres ke-3, Anies menyatakan nilai Kemenhan dalam melaksanakan kebijakan nilainya 11 dari 100. Jadi Menteri saja tidak layak, menurut Paslon 01.",Politik,5,debat ke 3 anies menyatakan nilai kemenhan dalam melaksanakan kebijakan 11 dari 100 jadi menteri saja tidak layak menurut paslon 01
"Pasangan Duet Capres Cawapres Ganjar Pranowo Mahfud MD, motor perubahan. Kredit 35% untuk koprasi dan UMKM, jadi andalan bisnis lokal. Sukses terus, teman-teman.JN18A #JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat",Ekonomi,1,pasangan duet capres cawapres ganjar pranowo mahfud md motor perubahan kredit 35 untuk koprasi umkm jadi andalan bisnis lokal sukses terus jn18a
"RT Anak Muda Indonesia, the future of this nation is in your hand. It's the time for change. Anies for President..sampaikan yang harus disampaikan kepada teman lainnya karena sudah saatnya adu ide &amp; gagasan...tunjukan karya-karya Pak Anies untuk Perubahan Indonesia lebih baik lagi https://t.co/S9S9Kanr0z [RE Yurissa_Samosir]",Ideologi,3,anak muda indonesia the future of this nation is in your hand the time for change anies for president sampaikan harus disampaikan kepada teman lainnya karena sudah saatnya adu ide gagasan tunjukan pak anies untuk perubahan indonesia lebih baik lagi HTTPURL
"RT Pak AniesÃ¢Â€Â™s post has reached 26.000 likes and 1.350.573 on Dialog Capres dengan Kadin, tvOneNews Youtube in 1 Days 15 Hour 27 Minutes. Ã¢Â€Â” It is the fastest and highest post to reach 26k likes and 1.3M likes among capresÃ¢Â€Â™s members #ANIES #Ã¬Â•Â„Ã«Â‹ÂˆÃ¬ÂŠÂ¤ #AniesAtKadin https://t.co/skRZA4AWlp [RE aniesbubble]",Sosial Budaya,6,pak aniesã â â s post has likes and 573 on dialog capres dengan kadin tvonenews youtube in 1 15 27 ã â â it is the and post to likes and m likes capresã â â s ã â â ã â âˆã âšâ HTTPURL aniesbubble
"RT According to Prabowo, Gaza is opressed because they don't have a sufficient military power. This is such a tone-deaf statement coming from a Minister of Defense. [RE WAPamungkas]",Pertahanan dan Keamanan,4,according to prabowo gaza is opressed because they have a sufficient military power this is such a statement coming from a minister of defense wapamungkas
"RT Ini kejam, warga disitu sudah bersedia dibangun JIS dengan janji Anies untuk memabngun rumah susun bagi mereka. Stlh rumah itu terbangun mrk ga diberikan haknya. Padahal Anies selaku Gubernur selalu menepati janjinya. Kampung akuarium, kampung kunir dll. Apa yang salah rakyat mendapat rmh? [RE GeiszChalifah]",Sosial Budaya,6,ini kejam warga disitu sudah bersedia dibangun jis dengan janji anies untuk memabngun rumah susun bagi mereka stlh rumah itu terbangun mrk ga diberikan haknya padahal anies selaku gubernur selalu menepati janjinya kampung akuarium kampung kunir dll apa salah rakyat mendapat rmh geiszchalifah
RT Prabowo-Gibran akan Terapkan 17 Program Ini untuk Melancarkan Ekonomi Biru - Internasional Kontan https://t.co/3wJ1RkX4NX #MenangSeputaran [RE AzzrielAzaryahu],Ekonomi,1,akan terapkan 17 program ini untuk melancarkan ekonomi biru internasional kontan HTTPURL azzrielazaryahu
"RT VIRAL Anies Baswedan Dapat Ancaman Penembakan, Tim Hukum AMIN Siap Tempuh Jalur Hukum! https://t.co/pnFEy0cLgj [RE democrazymedia]",Pertahanan dan Keamanan,4,viral anies baswedan dapat ancaman penembakan tim hukum amin siap tempuh jalur hukum HTTPURL democrazymedia
RT Kasihan Pendukung Prabowo sudah dibela belain masuk penjara gak diakui..... https://t.co/8l6IbwcGwC [RE Catatan_ali7],Politik,5,kasihan pendukung prabowo sudah dibela masuk penjara gak diakui HTTPURL 7
"tempodotco Ayo Ganjar, tuntaskan permasalahan yang ada di Indonesia, pasti bisa pasti m3nang Ã‚ Ã‚ semuakerjaÃ‚ Ganjar Mahfud Hebat #Coblos3 #3GM #DuluJokowiSekarangGanjar ayahbowo adalahkita Ã°ÂŸÂ˜Â€ https://t.co/zRmqeHufEI",Politik,5,tempodotco ayo ganjar tuntaskan permasalahan ada di indonesia pasti bisa pasti m3nang ã ã semuakerjaã ganjar mahfud hebat ayahbowo adalahkita ã âÿâ â HTTPURL
RT Wiranto langsung bergerak cepat untuk memberikan dukungan kepada Prabowo - Gibran. #WirantoGasPolDukung02 https://t.co/vkk1Hbk5Wl [RE AlfisyahriFarah],Politik,5,wiranto langsung bergerak cepat untuk memberikan dukungan kepada prabowo gibran HTTPURL
"RT saya beneran sedih banget kenapa iya orang tuh susah menerima fakta kalau prabowo itu war criminal dan zionistÃ¢Â€Â¦.. seperti thereÃ¢Â€Â™s so many possibilities kalau beliau kepilih bakal regress demokrasi kita, bakal lebih otoriter, bahkan banyak menteri progresif yang pasti akan didepakÃ¢Â€Â¦ [RE moonincancer__]",Politik,5,saya beneran sedih banget kenapa iya orang tuh susah menerima fakta kalau prabowo itu war zionistã â â seperti thereã â â s so many kalau beliau kepilih bakal demokrasi kita bakal lebih otoriter bahkan banyak menteri progresif pasti akan didepakã â â moonincancer
"RT Lautan manusia sambut Capres nomor urut 1, Anies Baswedan saat laksanakan giat kampanye ke Bone, Sulawesi Selatan (Sulsel), Rabu (17/1/2024). Anies bertemu dengan masyarakat Bone di Lapangan Sepak Bola Cina. Kampanye kali ini cukup spesial lantaran ditemani oleh eks Wakil Presiden, Jusuf Kalla (JK). Melihat lautan manusia yang antusias menyapa Anies ini pun membuat dia merasa takjub, dan menegaskan bahwa uang tidak dapat mengobarkan semangat seperti ini. Simak berita selengkapnya di https://t.co/IuWcTPbHZj #HardNews_Politik #NewsOne #CariBeritaditvOne #NO01 #AniesBaswedan #Kampanye #ViralBone #Pilpres2024 #Politik #KamiKabarkanAndaPutuskan #MauMemilih #tvOneTVPemilu [RE tvOneNews]",Politik,5,lautan manusia sambut capres nomor urut 1 anies baswedan saat laksanakan kampanye ke bone sulawesi selatan sulsel rabu 2024 anies bertemu dengan masyarakat bone di lapangan sepak bola cina kampanye kali ini cukup spesial lantaran ditemani oleh eks wakil presiden jusuf kalla jk melihat lautan manusia antusias menyapa anies ini pun membuat dia merasa menegaskan bahwa uang tidak dapat semangat seperti ini simak berita selengkapnya di HTTPURL tvonenews
RT baru kali ini ada capres yang mau peluk orang papua mencium tangan anak-Anak papua biar rakyat yang menilai !! Gak berpengaruh tetap all in prabowo istirahatÃ°ÂŸÂ«Â£ Anies Deserve Better #AbahAnies #CakImin https://t.co/2lcwxzGCN0 [RE nialubis_],Politik,5,baru kali ini ada capres mau peluk orang papua mencium tangan papua biar rakyat menilai gak berpengaruh tetap all in prabowo istirahatã âÿâ â anies deserve better HTTPURL nialubis
"RT Yang sudah yakin vote Anies-Muhaimin pada 14 februari 2024, silahkan retweet!! #NakesDesakAnies https://t.co/qReuauPDzn [RE AbdulRachimmks]",Politik,5,sudah yakin vote pada 14 februari 2024 silahkan retweet HTTPURL
RT DATA YANG MANAAAAA ???? Data lahan pak prabowo itu bagian dari rahasia pertahanan ? Index dan peringkat yang dibaca pak ganjar juga itu rahasia pertahanan ? Astagaaaa [RE MamatAlkatiri],Pertahanan dan Keamanan,4,data manaaaaa data lahan pak prabowo itu bagian dari rahasia pertahanan index peringkat dibaca pak ganjar juga itu rahasia pertahanan astagaaaa mamatalkatiri
"RT Video ini direkam 5 April 2014 dlm acara ""Mengadili Anies"". Apakah jadi Presiden adalah cita cita Anies??? Value pikiran yang dibawa dlm gagasan Pak Anies memang pemikiran seorang negarawan dari dulu, jarang kita dengar pemikiran2 macam beliau dinegeri ini guys. #AMINAjaDulu https://t.co/MTdDm5Q1Ge [RE BangPino__]",Politik,5,video ini 5 2014 dlm acara anies apakah jadi presiden adalah cita cita anies pikiran dibawa dlm gagasan pak anies memang pemikiran seorang negarawan dari dulu jarang kita dengar pemikiran 2 macam beliau dinegeri ini guys HTTPURL bangpino
Pak Ganjar dan Prof Mahfud memperoleh dukungan luas karena keberanian mereka dalam menghadapi dinamika g3opolitik yang tidak terduga @oykGYdaFYBKvWXjXN2nlVXJgtQjBeR7nBLD5UiBobIc= #GanjarMahfud2024 #DuluJokowiSekarangGanjar #Coblos3 https://t.co/qLVALTCMZa,Politik,5,pak ganjar prof mahfud memperoleh dukungan luas karena keberanian mereka dalam menghadapi dinamika g3opolitik tidak terduga @USER HTTPURL
RT JK Ungkap Sebab Tanah Bob Hasan Bisa Dimiliki Prabowo https://t.co/4TvcmCgso4 [RE CNNIndonesia],Politik,5,jk ungkap sebab tanah hasan bisa dimiliki prabowo HTTPURL cnnindonesia
"RT Sekarang bawaslu bahkan terkesan yang membenarkan kegiatan paslon 2, kunjungan prabowo ke cilincing yang diwarnai bagi2 uang 100rb dianggap kunjungan sebagai menhan oleh bawaslu, terserah klean lahÃ°ÂŸÂ™Â‚ https://t.co/MKF3x5U5qc [RE 5t3v3n_P3g3L]",Politik,5,sekarang bawaslu bahkan terkesan membenarkan kegiatan paslon 2 kunjungan prabowo ke cilincing diwarnai bagi 2 uang dianggap kunjungan sebagai menhan oleh bawaslu terserah lahã âÿâ â HTTPURL
RT pak prabowo adalah tipe seseorang yang lebih suka menunjukkan bukti kinerjanya daripada sekedar omong kosong belaka #KinerjaBukanOmonOmon https://t.co/RZJRed7zsg [RE Bella9316530695],Politik,5,pak prabowo adalah tipe seseorang lebih suka menunjukkan bukti kinerjanya daripada sekedar omong kosong belaka HTTPURL 9316530695
RT Abah Anies ingin mengangkat martabat petani agar tidak terus menerus menerima bansos karena penghasilannya cukup.. #AMINAjaDulu https://t.co/txIvBhLvn2 [RE ekowboy2],Sosial Budaya,6,abah anies ingin mengangkat martabat petani agar tidak terus menerus menerima bansos karena penghasilannya cukup HTTPURL ekowboy 2
